Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk,Age_cat,is_Male,Risk_Numeric
41.0,female,1,1,0,1,5954.0,42.0,0,good,0,0,1
40.0,male,3,1,0,0,1977.0,36.0,3,bad,0,1,0
64.5,male,3,0,0,0,1526.0,12.0,1,good,1,1,1
34.0,male,2,1,0,0,3965.0,42.0,5,bad,3,1,0
51.0,male,2,1,0,1,4771.0,11.0,5,good,0,1,1
39.0,male,1,1,0,0,7882.375,42.0,1,good,0,1,1
22.0,male,2,1,0,1,3832.0,30.0,4,good,2,1,1
44.0,female,2,1,0,0,5943.0,24.0,5,bad,0,0,0
47.0,male,2,1,2,0,1213.0,15.0,5,good,0,1,1
24.0,female,1,2,1,0,1568.0,18.0,0,good,2,0,1
58.0,female,1,1,0,0,1755.0,24.0,7,good,0,0,1
52.0,male,1,1,0,0,2315.0,10.0,5,good,0,1,1
29.0,female,3,1,0,0,1412.0,12.0,0,good,3,0,1
27.0,female,2,1,0,1,1295.0,18.0,4,good,3,0,1
47.0,male,2,0,1,1,7882.375,36.0,3,bad,0,1,0
30.0,male,3,1,1,0,2249.0,18.0,1,good,3,1,1
28.0,male,2,1,0,0,1108.0,12.0,6,bad,3,1,0
56.0,male,2,1,0,0,618.0,12.0,5,good,0,1,1
54.0,male,2,1,0,0,1409.0,12.0,1,good,0,1,1
33.0,female,1,1,0,0,797.0,12.0,5,bad,3,0,0
20.0,male,2,2,0,2,3617.0,24.0,4,good,2,1,1
54.0,male,2,1,3,1,1318.0,12.0,1,good,0,1,1
58.0,male,2,2,0,1,7882.375,42.0,0,bad,0,1,0
61.0,female,2,1,0,0,2012.0,12.0,3,good,1,0,1
34.0,male,2,1,1,1,2622.0,18.0,0,good,3,1,1
36.0,male,2,1,0,1,2337.0,36.0,5,good,0,1,1
36.0,male,3,2,0,1,7057.0,20.0,1,good,0,1,1
41.0,male,1,2,1,0,1469.0,24.0,1,good,0,1,1
24.0,male,2,2,0,1,2323.0,36.0,5,good,2,1,1
24.0,female,2,1,0,0,932.0,6.0,5,good,2,0,1
35.0,male,2,2,0,1,1919.0,9.0,4,good,3,1,1
26.0,male,2,2,0,0,2445.0,12.0,1,good,3,1,1
39.0,male,3,1,0,1,7882.375,24.0,7,bad,0,1,0
39.0,male,3,1,0,0,6458.0,18.0,1,bad,0,1,0
32.0,male,2,1,0,1,6078.0,12.0,1,good,3,1,1
30.0,female,2,1,0,0,7721.0,24.0,4,good,3,0,1
35.0,male,2,1,2,1,1410.0,14.0,0,good,3,1,1
31.0,male,2,1,1,1,1449.0,6.0,0,good,3,1,1
23.0,female,2,2,0,2,392.0,15.0,3,good,2,0,1
28.0,male,1,2,0,1,6260.0,18.0,1,good,3,1,1
25.0,female,2,1,0,0,7855.0,36.0,1,bad,2,0,0
35.0,male,2,1,2,0,1680.0,12.0,5,good,3,1,1
47.0,male,2,1,0,0,3578.0,42.0,5,good,0,1,1
30.0,female,3,1,0,0,7174.0,42.0,5,bad,3,0,0
27.0,female,2,2,0,0,2132.0,10.0,4,good,3,0,1
23.0,female,2,1,2,0,4281.0,33.0,4,bad,2,0,0
36.0,male,3,1,2,1,2366.0,12.0,1,good,0,1,1
25.0,female,2,1,0,0,1835.0,21.0,5,bad,2,0,0
41.0,female,3,2,0,0,3868.0,24.0,1,good,0,0,1
24.0,male,1,2,0,0,1768.0,12.0,4,good,2,1,1
63.0,male,2,0,0,2,781.0,10.0,1,good,1,1,1
27.0,female,2,2,0,1,1924.0,18.0,4,bad,3,0,0
30.0,male,2,1,0,0,2121.0,12.0,1,good,3,1,1
40.0,male,1,1,0,0,701.0,12.0,5,good,0,1,1
30.0,male,2,1,0,1,639.0,12.0,6,bad,3,1,0
34.0,male,3,1,0,1,1860.0,12.0,1,good,3,1,1
29.0,female,2,1,0,0,3499.0,12.0,1,bad,3,0,0
24.0,female,2,1,0,1,7882.375,42.0,1,good,2,0,1
29.0,male,2,1,0,0,6887.0,36.0,3,bad,3,1,0
27.0,male,1,1,0,0,2708.0,15.0,4,good,3,1,1
47.0,male,2,0,0,0,1984.0,18.0,4,good,0,1,1
21.0,female,2,1,1,0,7882.375,42.0,5,good,2,0,1
38.0,female,2,1,0,0,1240.0,12.0,5,good,0,0,1
27.0,male,2,1,3,0,7882.375,27.0,1,good,3,1,1
64.5,male,1,1,2,1,766.0,12.0,5,bad,1,1,0
35.0,male,2,1,0,1,2728.0,15.0,5,good,3,1,1
44.0,female,1,2,0,2,1881.0,12.0,5,good,0,0,1
27.0,male,0,1,3,2,709.0,6.0,1,good,3,1,1
30.0,female,3,1,0,1,4795.0,36.0,5,good,3,0,1
27.0,male,3,1,0,0,3416.0,27.0,5,good,3,1,1
22.0,male,2,1,0,0,2462.0,18.0,4,bad,2,1,0
23.0,female,2,1,0,0,2288.0,21.0,4,good,2,0,1
30.0,male,2,1,1,1,3566.0,42.0,0,good,3,1,1
39.0,female,2,1,0,0,860.0,6.0,1,good,0,0,1
51.0,female,2,1,1,0,682.0,12.0,1,good,0,0,1
28.0,male,2,1,0,0,5371.0,36.0,4,good,3,1,1
46.0,male,2,1,3,0,1582.0,18.0,5,good,0,1,1
42.0,male,2,0,1,0,1346.0,6.0,5,good,0,1,1
38.0,male,2,1,0,0,1924.0,10.0,5,good,0,1,1
24.0,male,2,1,0,2,5848.0,36.0,5,good,2,1,1
29.0,female,2,2,3,1,7758.0,24.0,1,good,3,0,1
36.0,male,3,2,1,1,6967.0,24.0,0,good,0,1,1
20.0,female,2,2,0,0,1282.0,12.0,4,bad,2,0,0
48.0,male,2,1,1,0,1288.0,9.0,6,good,0,1,1
45.0,male,1,1,0,0,339.0,12.0,3,good,0,1,1
38.0,male,2,1,1,1,3512.0,24.0,1,good,0,1,1
34.0,male,1,1,0,0,1898.0,6.0,5,good,3,1,1
36.0,male,2,1,1,0,2872.0,24.0,5,good,0,1,1
30.0,female,2,1,0,0,1055.0,18.0,1,good,3,0,1
36.0,male,2,1,2,0,1262.0,15.0,2,good,0,1,1
64.5,male,3,0,0,1,7308.0,10.0,1,good,1,1,1
36.0,male,2,1,2,0,909.0,36.0,1,good,0,1,1
32.0,male,2,1,2,0,2978.0,6.0,4,good,3,1,1
33.0,female,2,1,0,0,1131.0,18.0,4,bad,3,0,0
20.0,female,2,1,3,1,1577.0,11.0,4,good,2,0,1
25.0,female,2,2,0,0,3972.0,24.0,4,good,2,0,1
31.0,male,2,1,0,1,1935.0,24.0,0,bad,3,1,0
33.0,male,2,2,0,0,950.0,15.0,1,bad,3,1,0
26.0,female,2,1,0,0,763.0,12.0,4,good,3,0,1
34.0,female,3,1,0,1,2064.0,24.0,4,bad,3,0,0
33.0,male,2,1,0,1,1414.0,8.0,5,good,3,1,1
26.0,male,2,1,0,0,3414.0,21.0,3,bad,3,1,0
53.0,female,3,1,0,0,7485.0,30.0,1,bad,0,0,0
42.0,male,2,1,0,0,2577.0,12.0,4,good,0,1,1
52.0,male,2,1,2,0,338.0,6.0,5,good,0,1,1
31.0,male,3,2,0,0,1963.0,12.0,5,good,3,1,1
64.5,male,2,1,0,0,571.0,21.0,1,good,1,1,1
28.0,male,2,1,0,0,7882.375,36.0,0,bad,3,1,0
30.0,male,3,1,0,1,4455.0,36.0,0,bad,3,1,0
40.0,male,1,1,0,0,1647.0,21.0,1,bad,0,1,0
50.0,male,2,1,3,0,3777.0,24.0,4,good,0,1,1
36.0,male,2,1,0,1,884.0,18.0,1,bad,0,1,0
31.0,male,2,1,0,0,1360.0,15.0,5,good,3,1,1
64.5,female,3,0,0,1,5129.0,9.0,1,bad,1,0,0
64.5,male,0,0,0,1,1175.0,16.0,1,good,1,1,1
20.0,male,2,1,1,0,674.0,12.0,5,bad,2,1,0
33.0,female,2,1,0,1,3244.0,18.0,4,good,3,0,1
54.0,male,3,1,3,0,4591.0,24.0,0,bad,0,1,0
34.0,male,1,0,1,1,3844.0,42.0,0,bad,3,1,0
36.0,male,2,1,0,1,3915.0,27.0,0,bad,0,1,0
29.0,male,2,2,0,0,2108.0,6.0,5,good,3,1,1
21.0,male,2,2,1,1,3031.0,42.0,5,bad,2,1,0
34.0,female,3,1,0,1,1501.0,9.0,3,bad,3,0,0
28.0,female,2,1,0,0,1382.0,6.0,5,good,3,0,1
27.0,female,2,2,1,1,951.0,12.0,4,bad,3,0,0
36.0,male,2,0,0,1,2760.0,24.0,1,good,0,1,1
40.0,male,3,1,0,1,4297.0,18.0,4,bad,0,1,0
52.0,male,2,1,2,0,936.0,9.0,3,good,0,1,1
27.0,male,1,1,0,0,1168.0,12.0,1,good,3,1,1
26.0,male,2,1,0,0,5117.0,27.0,0,good,3,1,1
21.0,male,2,2,0,0,902.0,12.0,3,bad,2,1,0
38.0,male,1,1,0,0,1495.0,12.0,1,good,0,1,1
38.0,male,3,0,0,0,7882.375,30.0,1,good,0,1,1
43.0,male,2,1,0,0,1935.0,12.0,4,good,0,1,1
26.0,male,2,1,0,1,1424.0,12.0,2,good,3,1,1
21.0,male,1,1,0,0,6568.0,24.0,0,good,2,1,1
55.0,male,2,1,3,0,1413.0,12.0,1,good,0,1,1
33.0,male,2,1,0,0,3074.0,9.0,5,good,3,1,1
45.0,female,1,1,0,0,3835.0,36.0,5,good,0,0,1
50.0,male,2,1,0,0,5293.0,27.0,0,bad,0,1,0
64.5,male,3,1,0,2,1908.0,30.0,0,bad,1,1,0
51.0,male,2,1,0,0,3342.0,36.0,5,good,0,1,1
39.0,female,1,1,0,1,932.0,6.0,3,good,0,0,1
31.0,male,2,1,0,0,3104.0,18.0,0,good,3,1,1
23.0,male,2,1,0,2,3913.0,36.0,5,good,2,1,1
24.0,male,1,2,0,0,3021.0,24.0,4,good,2,1,1
64.0,female,2,1,0,0,1364.0,10.0,1,good,1,0,1
26.0,male,1,1,0,1,625.0,12.0,5,good,3,1,1
23.0,female,2,2,0,0,1200.0,12.0,3,good,2,0,1
30.0,male,2,1,0,0,707.0,12.0,5,good,3,1,1
32.0,male,2,1,0,0,2978.0,24.0,0,good,3,1,1
30.0,male,2,1,0,0,4657.0,15.0,1,good,3,1,1
27.0,male,2,1,0,0,2613.0,36.0,6,good,3,1,1
27.0,male,2,1,3,1,7882.375,42.0,5,bad,3,1,0
53.0,male,3,0,0,0,7865.0,12.0,4,bad,0,1,0
22.0,male,2,1,0,0,1478.0,9.0,5,bad,2,1,0
22.0,male,2,0,0,0,3149.0,24.0,4,good,2,1,1
26.0,male,2,1,0,2,4210.0,36.0,5,bad,3,1,0
51.0,male,1,0,2,0,2507.0,9.0,1,good,0,1,1
35.0,male,2,1,1,0,2141.0,12.0,5,good,3,1,1
25.0,male,1,1,0,1,866.0,18.0,5,good,2,1,1
42.0,male,1,1,0,0,1544.0,4.0,5,good,0,1,1
30.0,male,3,1,0,0,1823.0,24.0,5,bad,3,1,0
23.0,male,0,1,0,1,7882.375,6.0,1,bad,2,1,0
61.0,male,1,2,1,1,2767.0,21.0,0,bad,1,1,0
35.0,female,2,1,0,0,1291.0,12.0,5,good,3,0,1
39.0,male,2,1,0,0,2522.0,30.0,5,good,0,1,1
29.0,female,2,1,0,0,915.0,24.0,1,bad,3,0,0
51.0,male,2,1,0,0,1595.0,6.0,5,good,0,1,1
24.0,male,2,0,0,0,4605.0,42.0,1,bad,2,1,0
27.0,female,2,1,0,0,1185.0,12.0,0,good,3,0,1
35.0,female,1,1,2,0,3447.0,12.0,3,good,3,0,1
25.0,male,2,1,0,0,1258.0,24.0,0,good,2,1,1
52.0,male,2,1,0,0,717.0,12.0,5,good,0,1,1
35.0,male,2,2,1,0,1204.0,6.0,1,good,3,1,1
26.0,male,2,1,0,2,1925.0,24.0,4,good,3,1,1
22.0,female,2,2,0,0,433.0,18.0,5,bad,2,0,0
39.0,female,1,1,3,0,666.0,6.0,1,good,0,0,1
46.0,female,1,1,0,2,2251.0,12.0,4,good,0,0,1
24.0,female,2,1,0,1,2150.0,30.0,1,bad,2,0,0
35.0,male,2,1,1,0,4151.0,24.0,4,good,3,1,1
24.0,male,2,1,0,1,2030.0,9.0,4,good,2,1,1
27.0,male,1,1,0,1,7418.0,42.0,5,good,3,1,1
35.0,male,1,1,0,0,2684.0,24.0,5,good,3,1,1
29.0,male,2,0,0,0,2149.0,12.0,5,bad,3,1,0
23.0,female,2,1,1,0,3812.0,15.0,1,good,2,0,1
57.0,female,1,1,1,0,1154.0,11.0,5,good,0,0,1
27.0,male,2,1,0,0,1657.0,12.0,4,good,3,1,1
55.0,female,2,1,0,0,1603.0,24.0,5,good,0,0,1
36.0,male,3,0,0,0,5302.0,18.0,1,good,0,1,1
57.0,female,1,0,0,0,2748.0,12.0,3,good,0,0,1
32.0,male,1,1,0,0,1231.0,10.0,1,good,3,1,1
37.0,male,2,1,0,1,802.0,15.0,5,bad,0,1,0
36.0,male,2,1,0,0,6304.0,36.0,0,good,0,1,1
38.0,female,2,1,0,0,1533.0,24.0,5,good,0,0,1
45.0,male,3,1,0,0,7882.375,14.0,1,bad,0,1,0
25.0,male,2,1,0,0,999.0,24.0,5,good,2,1,1
32.0,male,2,1,0,0,2662.0,18.0,1,good,3,1,1
37.0,female,2,2,2,0,1402.0,12.0,4,good,0,0,1
36.0,male,3,0,0,1,7882.375,42.0,1,good,0,1,1
28.0,male,2,1,0,1,3060.0,42.0,5,bad,3,1,0
34.0,male,1,1,0,0,7882.375,30.0,6,bad,3,1,0
32.0,male,2,1,0,0,2697.0,9.0,5,good,3,1,1
26.0,female,2,1,0,0,2404.0,18.0,5,good,3,0,1
49.0,male,1,1,0,0,1262.0,12.0,4,good,0,1,1
32.0,female,2,1,0,0,4611.0,6.0,4,bad,3,0,0
29.0,male,3,2,1,0,1901.0,24.0,5,good,3,1,1
23.0,male,2,2,3,0,3368.0,15.0,1,good,2,1,1
50.0,male,2,1,0,0,1574.0,12.0,4,good,0,1,1
49.0,male,1,1,0,2,1445.0,18.0,5,good,0,1,1
63.0,male,2,1,0,0,1520.0,15.0,4,good,1,1,1
37.0,male,2,1,1,1,3878.0,24.0,1,good,0,1,1
35.0,female,1,1,0,0,7882.375,42.0,1,good,3,0,1
26.0,male,2,1,0,0,4788.0,42.0,1,good,3,1,1
31.0,male,3,0,1,1,7582.0,42.0,7,good,3,1,1
49.0,female,2,1,0,1,1092.0,12.0,5,good,0,0,1
48.0,male,2,1,0,0,1024.0,24.0,5,bad,0,1,0
26.0,male,2,1,0,0,1076.0,12.0,0,good,3,1,1
28.0,male,3,2,0,1,7882.375,36.0,1,bad,3,1,0
44.0,female,3,0,0,0,6419.0,24.0,1,good,0,0,1
56.0,male,2,0,0,2,4796.0,42.0,1,good,0,1,1
46.0,male,3,1,0,0,7629.0,42.0,0,good,0,1,1
26.0,female,2,1,0,1,7882.375,42.0,4,bad,3,0,0
20.0,female,2,2,0,0,4675.0,12.0,1,good,2,0,1
45.0,male,1,1,0,0,1287.0,10.0,1,good,0,1,1
43.0,male,2,1,0,0,2515.0,18.0,4,good,0,1,1
32.0,male,2,1,3,1,2745.0,21.0,4,good,3,1,1
54.0,female,0,1,0,0,672.0,6.0,1,good,0,0,1
42.0,female,2,1,0,1,3804.0,36.0,5,bad,0,0,0
37.0,male,1,1,0,2,1344.0,24.0,1,bad,0,1,0
49.0,male,2,1,0,0,1038.0,10.0,1,good,0,1,1
44.0,male,2,0,2,0,7882.375,42.0,1,bad,0,1,0
33.0,male,2,1,3,0,1543.0,6.0,4,good,3,1,1
24.0,female,1,2,0,0,4811.0,30.0,1,good,2,0,1
33.0,male,1,1,1,0,727.0,12.0,5,bad,3,1,0
24.0,female,2,1,0,1,1237.0,8.0,4,bad,2,0,0
22.0,male,1,2,0,1,276.0,9.0,1,good,2,1,1
40.0,male,0,0,0,1,5381.0,42.0,7,good,0,1,1
25.0,male,2,1,1,0,5511.0,24.0,4,good,2,1,1
26.0,female,2,1,0,2,3749.0,24.0,4,good,3,0,1
25.0,male,1,1,0,1,685.0,12.0,1,bad,2,1,0
29.0,male,1,1,0,2,1494.0,4.0,1,good,3,1,1
31.0,male,2,1,0,0,2746.0,36.0,4,bad,3,1,0
38.0,male,1,1,0,0,708.0,12.0,4,good,0,1,1
48.0,female,1,1,0,1,4351.0,24.0,4,good,0,0,1
32.0,male,2,1,0,0,701.0,12.0,3,good,3,1,1
27.0,female,1,1,0,0,3643.0,15.0,4,good,3,0,1
28.0,male,3,1,0,1,4249.0,30.0,1,bad,3,1,0
32.0,male,2,1,0,0,1938.0,24.0,5,bad,3,1,0
34.0,male,3,0,0,0,2910.0,24.0,1,good,3,1,1
28.0,male,2,1,3,0,2659.0,18.0,4,good,3,1,1
36.0,female,2,1,0,0,1028.0,18.0,1,good,0,0,1
39.0,male,1,1,0,0,3398.0,8.0,1,good,0,1,1
49.0,male,2,2,0,0,5801.0,12.0,4,good,0,1,1
34.0,female,2,1,3,0,1525.0,24.0,1,good,3,0,1
31.0,male,2,1,0,2,4473.0,36.0,5,good,3,1,1
28.0,male,2,1,0,1,1068.0,6.0,5,good,3,1,1
64.5,male,3,0,0,0,6615.0,24.0,1,good,1,1,1
30.0,female,2,1,1,0,1864.0,18.0,3,bad,3,0,0
24.0,female,3,1,1,1,7408.0,42.0,1,bad,2,0,0
24.0,female,1,2,1,0,7882.375,42.0,1,bad,2,0,0
23.0,male,2,2,0,0,4110.0,24.0,4,bad,2,1,0
44.0,male,3,2,0,0,3384.0,6.0,4,bad,0,1,0
23.0,female,1,1,0,1,2101.0,13.0,5,good,2,0,1
24.0,female,2,2,0,0,1275.0,15.0,2,bad,2,0,0
28.0,male,2,1,0,0,4169.0,24.0,4,good,3,1,1
31.0,male,1,1,0,1,1521.0,10.0,4,good,3,1,1
24.0,female,2,0,0,1,5743.0,24.0,3,good,2,0,1
26.0,female,1,2,0,0,3599.0,21.0,4,good,3,0,1
25.0,male,2,2,2,1,3213.0,18.0,5,good,2,1,1
33.0,male,3,1,0,1,4439.0,18.0,0,good,3,1,1
37.0,male,1,1,0,2,3949.0,10.0,1,good,0,1,1
43.0,female,1,1,0,0,1459.0,15.0,5,good,0,0,1
23.0,male,2,1,0,1,882.0,13.0,5,good,2,1,1
23.0,female,0,2,2,1,3758.0,24.0,5,good,2,0,1
34.0,male,1,1,1,0,1743.0,6.0,0,good,3,1,1
32.0,male,2,0,3,1,1136.0,9.0,3,bad,3,1,0
23.0,female,2,2,0,0,1236.0,9.0,2,good,2,0,1
29.0,female,2,1,0,1,959.0,9.0,4,bad,3,0,0
38.0,male,3,1,0,0,3229.0,18.0,1,good,0,1,1
28.0,male,2,2,0,0,6199.0,12.0,5,bad,3,1,0
46.0,male,2,0,2,0,727.0,10.0,3,good,0,1,1
23.0,male,1,1,0,1,1246.0,24.0,1,bad,2,1,0
49.0,male,2,1,0,0,2331.0,12.0,5,good,0,1,1
26.0,male,3,1,0,0,4463.0,36.0,5,bad,3,1,0
28.0,male,2,1,0,0,776.0,12.0,5,good,3,1,1
23.0,female,2,2,0,0,2406.0,30.0,4,bad,2,0,0
61.0,male,2,0,0,1,1239.0,18.0,3,good,1,1,1
37.0,male,3,1,0,2,3399.0,12.0,5,good,0,1,1
36.0,female,2,1,0,2,2247.0,12.0,1,good,0,0,1
21.0,male,2,2,0,0,1766.0,6.0,4,good,2,1,1
25.0,male,0,1,0,0,2473.0,18.0,4,bad,2,1,0
36.0,male,2,1,0,0,1542.0,12.0,0,good,0,1,1
27.0,male,2,1,0,0,3850.0,18.0,1,good,3,1,1
22.0,female,2,2,0,0,3650.0,18.0,4,good,2,0,1
42.0,male,2,1,0,0,3446.0,36.0,4,bad,0,1,0
40.0,female,2,2,0,1,3001.0,18.0,4,good,0,0,1
36.0,male,2,1,0,0,3079.0,36.0,1,good,0,1,1
33.0,male,2,1,0,0,6070.0,18.0,5,good,3,1,1
23.0,female,2,2,0,0,2146.0,10.0,4,good,2,0,1
63.0,male,3,0,0,0,7882.375,42.0,1,good,1,1,1
60.0,female,3,0,1,1,7882.375,42.0,7,bad,0,0,0
37.0,female,2,2,0,0,7685.0,42.0,0,bad,0,0,0
34.0,male,2,1,0,0,2320.0,18.0,5,good,3,1,1
36.0,male,2,0,0,0,846.0,7.0,5,good,0,1,1
57.0,male,3,0,0,1,7882.375,36.0,1,bad,0,1,0
52.0,female,1,1,1,0,362.0,6.0,1,good,0,0,1
39.0,male,2,1,0,0,2212.0,20.0,4,good,0,1,1
38.0,female,3,0,0,1,7882.375,18.0,1,bad,0,0,0
25.0,female,2,2,0,0,1283.0,22.0,1,good,2,0,1
26.0,male,2,1,0,2,1330.0,12.0,1,good,3,1,1
26.0,male,1,1,1,0,4272.0,30.0,0,good,3,1,1
25.0,female,2,1,0,0,2238.0,18.0,5,good,2,0,1
21.0,female,2,2,0,0,1126.0,18.0,5,good,2,0,1
40.0,male,3,1,0,1,7374.0,18.0,4,good,0,1,1
27.0,male,2,1,2,1,2326.0,15.0,0,good,3,1,1
27.0,female,2,1,0,0,1449.0,9.0,0,good,3,0,1
30.0,male,3,1,0,0,1820.0,18.0,1,good,3,1,1
19.0,female,1,2,3,1,983.0,12.0,4,good,2,0,1
39.0,male,3,0,0,0,3249.0,36.0,1,good,0,1,1
31.0,female,2,1,0,0,1957.0,6.0,5,good,3,0,1
31.0,male,3,1,0,0,2406.0,9.0,4,good,3,1,1
32.0,male,2,2,1,1,7882.375,39.0,3,good,3,1,1
55.0,female,3,0,0,0,2578.0,12.0,4,good,0,0,1
46.0,male,2,1,0,0,2348.0,36.0,4,good,0,1,1
46.0,male,2,2,0,1,1223.0,12.0,1,bad,0,1,0
43.0,female,1,1,3,0,1516.0,24.0,5,good,0,0,1
39.0,male,2,1,0,0,1473.0,18.0,5,good,0,1,1
28.0,male,2,1,0,1,1887.0,18.0,0,good,3,1,1
27.0,male,2,1,0,0,7882.375,24.0,0,bad,3,1,0
27.0,male,1,1,0,0,802.0,14.0,1,good,3,1,1
43.0,male,2,1,0,1,2899.0,18.0,1,good,0,1,1
22.0,male,2,1,0,1,2039.0,24.0,5,bad,2,1,0
43.0,male,2,1,0,0,2197.0,24.0,1,good,0,1,1
27.0,male,2,1,0,0,1053.0,15.0,5,good,3,1,1
26.0,male,3,1,2,0,3235.0,24.0,5,good,3,1,1
28.0,male,2,1,2,2,939.0,12.0,1,bad,3,1,0
20.0,female,2,1,0,1,1967.0,24.0,5,good,2,0,1
35.0,male,3,1,0,0,7253.0,33.0,1,good,3,1,1
42.0,male,3,1,0,0,2292.0,12.0,0,bad,0,1,0
40.0,male,1,2,2,0,1597.0,10.0,1,good,0,1,1
35.0,female,2,1,0,0,1381.0,24.0,1,bad,3,0,0
35.0,male,2,1,0,0,5842.0,36.0,1,good,3,1,1
33.0,male,1,1,0,0,2579.0,12.0,1,bad,3,1,0
23.0,female,2,2,0,0,7882.375,18.0,3,good,2,0,1
